ID,Measurement Date,Latitude,Longitude,Fixed?,Distance(miles),Bearing,Direction,Type,Derived?,Value,Unit,Source,Description,Meter,Probe
142135,3/12/11 16:00,38.465,142.79,No,119.9759616,52,NE,Gamma,Yes,0.3,mR/hr,DOD,USS RR Deck - reading taken at 1m.,N/A,ADM-300
142137,3/12/11 16:45,38.5,143.18,No,138.8652328,56,NE,Gamma,Yes,0.9,mR/hr,DOD,USS RR Deck - 1 meter,N/A,N/A
142139,3/12/11 18:00,38.63,143.7,No,167.7037092,59,ENE,Gamma,Yes,0.6,mR/hr,DOD,"USS RR - deck, closed window",N/A,N/A
142145,3/12/11 22:20,39.63,143.65,No,208.1217606,42,NE,Beta,No,0.225,uCi/m2,DOD,Tractor - horizontal surface,N/A,N/A
142147,3/12/11 22:20,39.63,143.65,No,208.1217606,42,NE,Beta,No,0.135,uCi/m2,DOD,Vertical Surface - USS RR,N/A,N/A
142813,3/16/11 18:03,35.741174,139.360978,No,148.5313405,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: in The wind - ;,Health Physics Kit,ADM-300
142815,3/16/11 18:01,35.741253,139.360875,No,148.530647,219,SW,Gamma,Yes,0.023,mR/hr,DOE,Field Team: Shielded from wiNd ;,Health Physics Kit,ADM-300
142827,3/15/11 16:55,35.668333,139.743056,Yes,140.5605122,210,SSW,Gamma,Yes,0.016,mR/hr,DOE,Description: Top of Embassy Roof North East Corner;,Health Physics Kit,ADM-300
142829,3/15/11 17:00,35.668333,139.743056,Yes,140.5605122,210,SSW,Beta,Yes,0.434362934,uCi/m2,DOE,Description: Top of Embassy Roof Center;,Health Physics Kit,BP-100
142831,3/15/11 17:00,35.668333,139.743056,Yes,140.5605122,210,SSW,Gamma,Yes,0.01,mR/hr,DOE,Description: Top Embassy Roof Center;,Health Physics Kit,ADM-300
142833,3/16/11 18:32,35.741194,139.360843,No,148.534955,219,SW,Gamma,Yes,0.022,mR/hr,DOE,Field Team: in WIND ;,Health Physics Kit,ADM-300
142835,3/16/11 18:31,35.741197,139.360785,No,148.5368108,219,SW,Gamma,Yes,0.024,mR/hr,DOE,Field Team: Shielded from wind ;,Health Physics Kit,ADM-300
142837,3/15/11 17:05,35.668833,139.743056,No,140.530753,210,SSW,Beta,Yes,0.398970399,uCi/m2,DOE,"Description: Top Embassy Roof, South End;",Health Physics Kit,BP-100
142839,3/16/11 18:17,35.74113,139.36097,No,148.5340013,219,SW,Gamma,Yes,0.021,mR/hr,DOE,Field Team: In wind;,Health Physics Kit,ADM-300
142841,3/16/11 18:16,35.741142,139.360741,No,148.5413197,219,SW,Gamma,Yes,0.021,mR/hr,DOE,Field Team: Shielded from wind;,Health Physics Kit,ADM-300
